,address,flood,followInfo
0,兴达公寓| 3室2厅 | 121.62平米 | 南 北 | 其他,低楼层(共6层)2002年建板楼  -福成四期,2人关注 / 共0次带看 / 6天以前发布
1,兴达公寓| 2室1厅 | 93.29平米 | 南 北 | 其他,底层(共6层)2002年建板楼  -福成四期,6人关注 / 共2次带看 / 4个月以前发布
