,address,flood,followInfo
0,灵秀山庄/2室1厅/82.07平米/南 北/简装/无电梯,中楼层(共7层)/2003年建板楼/旧宫,63人关注/37次带看24天以前发布房本满五年410万单价49958元/平米
1,灵秀山庄/3室2厅/97平米/南 北/精装,中楼层(共7层)/2003年建板楼/旧宫,99人关注/31次带看1个月以前发布房本满五年440万单价45361元/平米
2,灵秀山庄/3室2厅/142.22平米/南 北/精装/无电梯,中楼层(共7层)/2003年建板楼/旧宫,70人关注/9次带看1个月以前发布房本满五年535万单价37618元/平米
3,灵秀山庄/3室2厅/127.64平米/南 北/精装/无电梯,低楼层(共6层)/2002年建板楼/旧宫,270人关注/93次带看11个月以前发布距离亦庄线旧宫站960米房本满五年570万单价44657元/平米
4,灵秀山庄/2室1厅/97.81平米/南 北/简装/无电梯,中楼层(共6层)/2002年建板楼/旧宫,116人关注/34次带看9个月以前发布距离亦庄线旧宫站1158米房本满五年随时看房440万单价44986元/平米
5,灵秀山庄/4室2厅/151.63平米/南 北/精装/无电梯,高楼层(共6层)/2002年建板楼/旧宫,43人关注/0次带看10个月以前发布房本满五年668万单价44055元/平米
6,灵秀山庄/2室2厅/96.66平米/南 北/简装/无电梯,中楼层(共6层)/2002年建板楼/旧宫,17人关注/8次带看1个月以前发布房本满五年448万单价46349元/平米
7,灵秀山庄/2室2厅/102.55平米/南 北/简装,中楼层(共6层)/2002年建板楼/旧宫,16人关注/0次带看5天以前发布距离亦庄线旧宫站1003米房本满五年465万单价45344元/平米
8,灵秀山庄/3室1厅/97平米/南 西 北/毛坯,低楼层(共7层)/2003年建板楼/旧宫,26人关注/7次带看21天以前发布房本满两年465万单价47939元/平米
9,灵秀山庄/3室2厅/141.17平米/南 北/精装/无电梯,高楼层(共7层)/2003年建板楼/旧宫,145人关注/6次带看5个月以前发布房本满五年550万单价38961元/平米
10,灵秀山庄/2室1厅/96.65平米/南 北/简装/无电梯,中楼层(共6层)/2002年建板楼/旧宫,14人关注/2次带看5个月以前发布距离亦庄线旧宫站1174米房本满五年470万单价48630元/平米
11,灵秀山庄/2室2厅/108.68平米/南 北/精装/无电梯,中楼层(共6层)/2002年建板楼/旧宫,12人关注/2次带看1个月以前发布距离亦庄线旧宫站1003米房本满五年520万单价47847元/平米
12,灵秀山庄/4室2厅/177.82平米/南 西 北/简装/无电梯,顶层(共6层)/2002年建板楼/旧宫,11人关注/0次带看10个月以前发布距离亦庄线旧宫站1149米房本满五年650万单价36554元/平米
13,灵秀山庄/4室2厅/195.62平米/南 北/精装/有电梯,中楼层(共10层)/2003年建板塔结合/旧宫,78人关注/6次带看一年前发布距离亦庄线旧宫站1079米房本满两年782万单价39976元/平米
14,灵秀山庄/2室1厅/58.98平米/南 北/精装/无电梯,顶层(共6层)/2003年建板楼/旧宫,72人关注/21次带看1个月以前发布房本满两年310万单价52561元/平米
15,灵秀山庄/4室2厅/178.24平米/南 北/简装/无电梯,高楼层(共6层)/2002年建板楼/旧宫,4人关注/1次带看24天以前发布距离亦庄线旧宫站1198米房本满五年712万单价39947元/平米
16,灵秀山庄/3室2厅/120.77平米/南 北/简装/无电梯,顶层(共6层)/2003年建板楼/旧宫,63人关注/10次带看一年前发布距离亦庄线旧宫站973米房本满五年545万单价45128元/平米
17,灵秀山庄/1室1厅/58.98平米/南 北/简装/无电梯,顶层(共6层)/2003年建板楼/旧宫,80人关注/12次带看7个月以前发布房本满两年312万单价52900元/平米
18,灵秀山庄/2室1厅/58.98平米/南 北/简装/无电梯,高楼层(共6层)/2003年建板楼/旧宫,97人关注/8次带看3个月以前发布房本满两年310万单价52561元/平米
19,灵秀山庄/3室2厅/130.93平米/南 北/精装/无电梯,底层(共6层)/2002年建板楼/旧宫,22人关注/4次带看1个月以前发布距离亦庄线旧宫站1149米房本满两年720万单价54992元/平米
20,灵秀山庄/2室1厅/95.87平米/南 北/精装/无电梯,中楼层(共7层)/2003年建板楼/旧宫,25人关注/2次带看4个月以前发布房本满五年440万单价45896元/平米
21,灵秀山庄/4室3厅/151.09平米/南 北/其他/无电梯,高楼层(共6层)/2002年建板楼/旧宫,1人关注/0次带看4个月以前发布房本满五年630万单价41698元/平米
22,灵秀山庄/1室1厅/53.27平米/北/简装/无电梯,顶层(共6层)/2002年建板楼/旧宫,55人关注/4次带看4个月以前发布距离亦庄线旧宫站1149米270万单价50686元/平米
23,灵秀山庄/1室0厅/45.15平米/南/简装,低楼层(共6层)/2002年建板楼/旧宫,45人关注/0次带看2天以前发布距离亦庄线旧宫站1198米房本满两年230万单价50942元/平米
24,灵秀山庄/2室2厅/96.66平米/南 北/简装,中楼层(共6层)/2002年建板楼/旧宫,9人关注/0次带看13天以前发布房本满两年460万单价47590元/平米
