,address,flood,followInfo
0,鼎盛家园| 3室2厅 | 140.28平米 | 南 北 | 简装 | 无电梯,中楼层(共6层)2004年建板楼  -福成四期,19人关注 / 共3次带看 / 1个月以前发布
1,鼎盛家园| 2室2厅 | 120.61平米 | 东 南 北 | 其他 | 无电梯,顶层(共6层)2004年建板楼  -福成四期,30人关注 / 共3次带看 / 4个月以前发布
