,address,flood,followInfo
0,地质队家属楼| 3室2厅 | 115.43平米 | 南 北 | 其他,底层(共6层)2000年建暂无数据  -燕顺路国道,6人关注 / 共0次带看 / 12天以前发布
1,地质队家属楼| 3室2厅 | 84平米 | 南 北 | 其他,底层(共5层)暂无数据  -燕顺路国道,28人关注 / 共1次带看 / 1个月以前发布
