,address,flood,followInfo
0,富地广场| 2室1厅 | 87.47平米 | 南 | 其他,低楼层(共33层)2014年建塔楼  -天洋城,4人关注 / 共7次带看 / 24天以前发布
1,富地广场| 2室1厅 | 86.67平米 | 南 北 | 其他,低楼层(共33层)塔楼  -天洋城,5人关注 / 共0次带看 / 13天以前发布
