,address,flood,followInfo
0,雷捷小区| 3室2厅 | 120.84平米 | 南 北 | 其他,底层(共6层)2000年建板楼  -福成四期,0人关注 / 共1次带看 / 23天以前发布
1,雷捷小区| 2室1厅 | 85.88平米 | 南 北 | 其他,顶层(共6层)板楼  -福成四期,1人关注 / 共0次带看 / 1个月以前发布
2,雷捷小区| 3室1厅 | 130.62平米 | 南 北 | 其他,顶层(共6层)2000年建板楼  -福成四期,1人关注 / 共0次带看 / 1个月以前发布
