,address,flood,followInfo
0,云景里南大门/2室2厅/100.82平米/南 北/简装,高楼层(共6层)/2002年建板楼/梨园,11人关注/15次带看24天以前发布房本满两年随时看房409万单价40568元/平米
1,云景里南大门/2室2厅/89.46平米/南 北/精装/无电梯,低楼层(共6层)/2004年建板楼/梨园,11人关注/0次带看12天以前发布房本满五年425万单价47508元/平米
2,云景里南大门/2室2厅/89.46平米/南 北/精装/无电梯,中楼层(共6层)/2004年建板楼/梨园,25人关注/16次带看1个月以前发布房本满五年400万单价44713元/平米
3,云景里南大门/2室1厅/90.58平米/南 北/精装/无电梯,中楼层(共6层)/2004年建板楼/梨园,17人关注/9次带看1个月以前发布房本满五年407万单价44933元/平米
4,云景里南大门/2室1厅/89.49平米/南 北/精装/无电梯,中楼层(共6层)/2002年建板楼/梨园,25人关注/32次带看1个月以前发布房本满五年423万单价47268元/平米
5,云景里南大门/3室2厅/116.26平米/南 北/精装/无电梯,高楼层(共6层)/2002年建板楼/梨园,33人关注/3次带看1个月以前发布房本满五年460万单价39567元/平米
