,address,flood,followInfo
0,法华南里/2室1厅/80.81平米/南 北/精装/无电梯,低楼层(共6层)/1993年建板楼/崇文门,28人关注/39次带看26天以前发布距离5号线天坛东门站944米房本满两年765万单价94667元/平米
1,法华南里/3室1厅/85.34平米/南 北/其他/无电梯,高楼层(共6层)/1996年建板楼/崇文门,76人关注/101次带看3个月以前发布距离5号线天坛东门站691米房本满五年随时看房810万单价94915元/平米
2,法华南里/1室1厅/47.56平米/东/其他/无电梯,高楼层(共6层)/1993年建板楼/崇文门,77人关注/51次带看8个月以前发布距离5号线天坛东门站943米房本满五年435万单价91464元/平米
3,法华南里/4室1厅/167.29平米/南 北/简装/无电梯,中楼层(共6层)/1996年建板楼/崇文门,23人关注/12次带看15天以前发布距离5号线天坛东门站761米房本满五年1420万单价84883元/平米
4,法华南里/3室1厅/110.54平米/南 北/其他/无电梯,高楼层(共6层)/1990年建板楼/崇文门,103人关注/10次带看2个月以前发布距离5号线天坛东门站587米房本满五年890万单价80514元/平米
5,法华南里/2室1厅/65.19平米/东 西/精装/无电梯,中楼层(共5层)/1990年建板楼/崇文门,33人关注/13次带看30天以前发布距离5号线天坛东门站801米房本满五年558万单价85596元/平米
6,法华南里/1室1厅/47.56平米/西/精装/无电梯,高楼层(共6层)/1993年建板楼/崇文门,13人关注/5次带看1天以前发布距离5号线天坛东门站943米房本满五年435万单价91464元/平米
7,法华南里/2室1厅/65.18平米/东 西/精装/无电梯,高楼层(共6层)/1991年建板楼/崇文门,53人关注/8次带看3个月以前发布距离5号线天坛东门站722米房本满两年575万单价88218元/平米
8,法华南里/3室1厅/113.14平米/南 北/简装/无电梯,低楼层(共6层)/1995年建板楼/崇文门,63人关注/15次带看4个月以前发布距离5号线天坛东门站662米房本满五年980万单价86619元/平米
9,法华南里/3室1厅/97.93平米/南 北/其他,地下室(共6层)/1993年建板楼/崇文门,23人关注/1次带看3个月以前发布距离5号线天坛东门站801米680万单价69438元/平米
10,法华南里/2室1厅/67.53平米/南 北/简装/无电梯,地下室(共6层)/1995年建板楼/崇文门,15人关注/1次带看1个月以前发布距离5号线天坛东门站664米房本满五年450万单价66638元/平米
11,法华南里/3室2厅/110.54平米/南 北/精装/无电梯,中楼层(共6层)/1990年建板楼/崇文门,311人关注/36次带看一年前发布980万单价88656元/平米
