,address,flood,followInfo
0,国瑞城西区/1室1厅/65.5平米/北/精装/有电梯,高楼层(共16层)/2009年建塔楼/崇文门,37人关注/30次带看2个月以前发布距离5号线崇文门站135米房本满五年随时看房555万单价84733元/平米
1,国瑞城西区/4室1厅/258.09平米/东南/精装/有电梯,中楼层(共16层)/2009年建塔楼/崇文门,130人关注/56次带看2个月以前发布距离5号线崇文门站135米房本满五年随时看房2300万单价89117元/平米
2,国瑞城西区/1室1厅/120.46平米/西/精装/有电梯,中楼层(共16层)/2009年建塔楼/崇文门,25人关注/23次带看3个月以前发布房本满两年910万单价75544元/平米
3,国瑞城西区/4室1厅/258.85平米/北/精装/有电梯,高楼层(共16层)/2009年建塔楼/崇文门,85人关注/4次带看5个月以前发布距离5号线崇文门站226米2200万单价84992元/平米
4,国瑞城西区/1室1厅/120.46平米/西/其他/有电梯,高楼层(共16层)/2009年建塔楼/崇文门,6人关注/2次带看13天以前发布距离5号线崇文门站226米900万单价74714元/平米
5,国瑞城西区/1室1厅/123.77平米/西/其他,高楼层(共16层)/2009年建塔楼/崇文门,29人关注/52次带看4个月以前发布900万单价72716元/平米
6,国瑞城西区/1室1厅/120.46平米/西/精装,中楼层(共16层)/2009年建塔楼/崇文门,11人关注/2次带看6个月以前发布距离5号线崇文门站226米房本满两年1060万单价87997元/平米
7,国瑞城西区/1室1厅/122.81平米/西/精装/有电梯,低楼层(共16层)/2009年建塔楼/崇文门,21人关注/10次带看1个月以前发布随时看房960万单价78170元/平米
8,国瑞城西区/1室1厅/122.81平米/西/其他/有电梯,高楼层(共16层)/2013年建塔楼/崇文门,1人关注/1次带看31天以前发布距离5号线崇文门站226米980万单价79799元/平米
